region,week,sum_infections,sum_unemployed,sum_deaths,rnd_var
Амурская,2020-04-13,425.0,1301,0.0,47.875
Амурская,2020-04-20,14.0,1321,0.0,51.42424242424242
Амурская,2020-04-27,20.0,908,0.0,48.29032258064516
Амурская,2020-05-04,16.0,654,1.0,50.4375
Амурская,2020-05-11,327.0,1297,6.0,47.303030303030305
Амурская,2020-05-18,217.0,1788,0.0,55.1875
Амурская,2020-05-25,147.0,1142,4.0,49.0625
Амурская,2020-06-01,121.0,1185,0.0,47.9375
Амурская,2020-06-08,100.0,825,0.0,57.0625
Амурская,2020-06-15,532.0,982,3.0,55.89655172413793
Амурская,2020-06-22,337.0,979,1.0,49.54545454545455
Амурская,2020-06-29,283.0,925,2.0,43.1875
Амурская,2020-07-06,76.0,1061,2.0,50.4375
Амурская,2020-07-13,486.0,938,2.0,44.0
Амурская,2020-07-20,280.0,929,10.0,37.75
Амурская,2020-07-27,209.0,987,14.0,55.7
Амурская,2020-08-03,120.0,928,0.0,39.28125
Амурская,2020-08-10,186.0,838,7.0,43.41935483870968
Амурская,2020-08-17,396.0,700,0.0,42.59375
Амурская,2020-08-24,127.0,700,0.0,51.774193548387096
Амурская,2020-08-31,178.0,582,0.0,47.333333333333336
Амурская,2020-09-07,91.0,705,2.0,45.87096774193548
Амурская,2020-09-14,466.0,623,3.0,53.724137931034484
Амурская,2020-09-21,205.0,640,0.0,47.0
Амурская,2020-09-28,208.0,619,2.0,50.51724137931034
Амурская,2020-10-05,67.0,555,0.0,46.03448275862069
Амурская,2020-10-12,499.0,541,2.0,46.07142857142857
Амурская,2020-10-19,431.0,581,3.0,47.7037037037037
Амурская,2020-10-26,719.0,387,1.0,57.07142857142857
Архангельская,2020-04-06,172.0,438,1.0,57.13333333333333
Архангельская,2020-04-13,1228.0,1606,24.0,56.78787878787879
Архангельская,2020-04-20,83.0,1181,1.0,43.06060606060606
Архангельская,2020-04-27,61.0,1082,0.0,55.71875
Архангельская,2020-05-04,23.0,611,0.0,48.121212121212125
Архангельская,2020-05-11,1000.0,1169,11.0,54.25
Архангельская,2020-05-18,625.0,1164,1.0,42.96875
Архангельская,2020-05-25,426.0,894,1.0,47.354838709677416
Архангельская,2020-06-01,787.0,1043,1.0,50.166666666666664
Архангельская,2020-06-08,320.0,706,0.0,50.5
Архангельская,2020-06-15,1341.0,802,8.0,54.0625
Архангельская,2020-06-22,828.0,808,13.0,47.67741935483871
Архангельская,2020-06-29,823.0,827,22.0,48.645161290322584
Архангельская,2020-07-06,249.0,902,4.0,43.71875
Архангельская,2020-07-13,1328.0,701,13.0,51.9375
Архангельская,2020-07-20,786.0,631,24.0,52.774193548387096
Архангельская,2020-07-27,526.0,734,23.0,54.56666666666667
Архангельская,2020-08-03,276.0,697,30.0,46.689655172413794
Архангельская,2020-08-10,574.0,583,22.0,50.03448275862069
Архангельская,2020-08-17,1107.0,537,22.0,52.10344827586207
Архангельская,2020-08-24,520.0,543,4.0,49.096774193548384
Архангельская,2020-08-31,467.0,540,6.0,51.36666666666667
