region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths
Тверская,24758,10292.0,279.0,6036.0,1260379.0,0.0196432977699565,0.008165797748137664,0.004789035678950538,0.00022136198714831014
Томская,36306,12529.0,112.0,8968.0,1079271.0,0.0336393732436061,0.01160876184016804,0.008309312489634207,0.000103773750985619
Тульская,33379,12268.0,393.0,10409.0,1466127.0,0.02276678623338906,0.00836762435996336,0.007099657805906309,0.000268053176839387
Тыва,23293,8978.0,113.0,7922.0,327383.0,0.07114908226755819,0.02742353756914684,0.024197957743682476,0.00034516147753548595
Тюменская,60317,13017.0,83.0,10268.0,1537416.0,0.039232712551449965,0.0084668040400256,0.006678738870936688,5.398668935408503e-05
Удмуртия,30142,9237.0,166.0,7181.0,1500955.0,0.020081881202301203,0.006154081901189576,0.004784287337062071,0.00011059625371846591
Ульяновская,44680,20239.0,262.0,16700.0,1229824.0,0.03633040174854288,0.01645682634263114,0.013579178809325562,0.00021303861365528726
ХМАО,48981,25996.0,256.0,23494.0,1674676.0,0.029248045592102593,0.015523002658424675,0.01402898232255075,0.0001528653900814247
Хабаровский край,34145,16962.0,113.0,13004.0,1315643.0,0.025953089097878374,0.01289255519924478,0.009884140302498474,8.588956122595567e-05
Хакасия,17068,7700.0,83.0,6276.0,534262.0,0.03194687250824502,0.014412404400837043,0.011747045457097828,0.00015535448899603566
Челябинская,106538,18836.0,186.0,14198.0,3466369.0,0.030734754436126104,0.005433928124789946,0.004095928621563371,5.3658453557598746e-05
Чувашия,42008,9447.0,190.0,7616.0,1217818.0,0.034494481112941344,0.007757316774756162,0.006253808040281882,0.00015601674470241037
Ямало-Ненецкий АО,8938,19261.0,128.0,14760.0,544444.0,0.016416748095304568,0.03537737581826597,0.02711022621242956,0.00023510223273651653
Ярославская,39707,11522.0,66.0,10227.0,1253389.0,0.03167970997032844,0.009192676814620201,0.008159478023183545,5.265723570256321e-05
