,region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths,fin_blago,depo_mean,depo_salary,income_fix,poverty_proc,ex_poverty_proc,social_exp,growth_social_exp,soc_in_total_exp,vrp,vrp_norm
64,Северная Осетия,30273,6919.0,60.0,5224.0,696837.0,0.0434434451672342,0.009929151293631,0.0074967316603452,8.610334985082595e-05,26.56954389352969,65.54186990644871,2.6386678169994244,1.429339882820125,13.5,1.6,45.41,9.3,71.1,186000.0,0.26692038453756045
65,Смоленская,21758,8748.0,205.0,6245.0,934889.0,0.0232733511678926,0.0093572605945732,0.0066799374043335,0.0002192773687571,38.25291765373366,125.19882039472066,4.57941148867831,1.4202767731215853,16.3,2.4,39.01,10.7,63.0,358000.0,0.3829331610490657
66,Ставропольский край,94718,20297.0,411.0,15442.0,2803573.0,0.0337847453945376,0.0072396902096003,0.0055079714350223,0.0001465986439447,32.80080518811595,99.7202498383313,4.092640277370132,1.239114749925231,14.0,1.8,39.67,12.1,67.7,863000.0,0.3078214835140729
67,Тамбовская,13995,9619.0,61.0,7861.0,1006748.0,0.0139011947379085,0.0095545260581595,0.0078083095273097,6.0591131047690186e-05,41.91450955616138,102.35331979800308,3.71097465843655,1.6011817777278057,10.8,1.2,39.09,11.0,60.6,379000.0,0.3764596502799112
68,Татарстан,114889,7909.0,108.0,6464.0,3902888.0,0.0294369195324077,0.0020264481071452,0.0016562094531024,2.7671816357528066e-05,57.20367985264548,161.04484679037677,4.510396840531204,1.973546916474821,7.0,0.8,56.94,1.1,58.8,2634.0,0.0006748848544974901
69,Тверская,24758,10292.0,279.0,6036.0,1260379.0,0.0196432977699565,0.0081657977481376,0.0047890356789505,0.0002213619871483,43.5218572940976,131.5167897910073,4.785212843509217,1.4991018563556069,11.7,1.1,40.31,9.9,62.6,491000.0,0.3895653608954132
70,Томская,36306,12529.0,112.0,8968.0,1079271.0,0.0336393732436061,0.011608761840168,0.0083093124896342,0.0001037737509856,47.89717192939162,133.91724599289705,4.718968444170659,1.4610054168384308,14.8,1.8,41.2,6.7,67.0,557000.0,0.5160891008838374
71,Тульская,33379,12268.0,393.0,10409.0,1466127.0,0.022766786233389,0.0083676243599633,0.0070996578059063,0.0002680531768393,47.231093290549325,142.8389218669324,5.024232214805923,1.5279698669028807,10.3,0.9,51.12,9.9,65.5,709000.0,0.4835870289545176
72,Тыва,23293,8978.0,113.0,7922.0,327383.0,0.0711490822675581,0.0274235375691468,0.0241979577436824,0.0003451614775354,5.251533855408277,28.850001374536856,1.7488293981867251,0.9687996145612312,34.6,6.6,41.89,11.8,71.7,83000.0,0.25352568703933925
73,Тюменская,60317,13017.0,83.0,10268.0,1537416.0,0.0392327125514499,0.0084668040400256,0.0066787388709366,5.398668935408503e-05,50.01528102953493,159.51115378010897,5.105663970940048,1.5948567327817504,14.7,2.2,79.78,23.7,53.6,1166.0,0.0007584154191188332
74,Удмуртия,30142,9237.0,166.0,7181.0,1500955.0,0.0200818812023012,0.0061540819011895,0.004784287337062,0.0001105962537184,40.88172085083676,110.3770599385058,4.377653460453357,1.4139066821343018,12.4,1.3,49.02,13.4,71.2,676000.0,0.45037992478122263
75,Ульяновская,44680,20239.0,262.0,16700.0,1229824.0,0.0363304017485428,0.0164568263426311,0.0135791788093255,0.0002130386136552,33.42742191146542,112.3152581182348,4.722799576066892,1.3122969443991483,15.4,1.8,45.92,7.5,66.5,441000.0,0.35858789550374687
76,ХМАО,48981,25996.0,256.0,23494.0,1674676.0,0.0292480455921025,0.0155230026584246,0.0140289823225507,0.0001528653900814,83.756409475098,269.7076927119037,5.050824086929071,2.169102130778504,8.9,1.1,80.05,10.0,66.0,3353.0,0.0020021783318086607
77,Хабаровский край,34145,16962.0,113.0,13004.0,1315643.0,0.0259530890978783,0.0128925551992447,0.0098841403024984,8.588956122595567e-05,54.4665672028725,198.1730606251088,4.794142238097294,1.706131899532005,12.3,1.6,45.21,5.8,62.2,861000.0,0.6544328514650251
78,Хакасия,17068,7700.0,83.0,6276.0,534262.0,0.031946872508245,0.014412404400837,0.0117470454570978,0.000155354488996,30.409276168415147,84.0130872118923,3.704566587452396,1.236817093270671,19.0,2.3,43.94,-5.8,72.9,267000.0,0.49975480195110267
79,Челябинская,106538,18836.0,186.0,14198.0,3466369.0,0.0307347544361261,0.0054339281247899,0.0040959286215633,5.3658453557598746e-05,48.19073439808383,134.75801335633915,5.35215963604854,1.5224480333797996,12.9,1.3,49.7,11.0,70.8,1615.0,0.00046590538976087084
80,Чувашия,42008,9447.0,190.0,7616.0,1217818.0,0.0344944811129413,0.0077573167747561,0.0062538080402818,0.0001560167447024,32.78748837004726,114.76838082537785,5.740643540640891,1.2368144203460312,17.4,2.0,40.01,14.0,70.3,348000.0,0.28575698503388847
81,Ямало-Ненецкий АО,8938,19261.0,128.0,14760.0,544444.0,0.0164167480953045,0.0353773758182659,0.0271102262124295,0.0002351022327365,96.95570720628172,283.547986569785,3.360957106981666,3.1139665355056185,5.7,0.8,80.2,17.0,51.4,2768.0,0.00508408578292717
82,Ярославская,39707,11522.0,66.0,10227.0,1253389.0,0.0316797099703284,0.0091926768146202,0.0081594780231835,5.265723570256321e-05,51.63600744471349,175.94856824178288,6.201431618633801,1.5057523795079564,10.3,1.0,50.31,4.5,67.6,618000.0,0.4930632070330919
