,region,week,sum_unemployed,population,infections,deaths,healed,Rt,procent_unemployed,procent_infections,procent_healed,procent_deaths,fin_blago,depo_mean,depo_salary,income_fix,poverty_proc,ex_poverty_proc,social_exp,growth_social_exp,soc_in_total_exp
1396,Новгородская,2020-07-27,0.0008281531848692725,596508.0,0.0002279935893567228,1.0058540706914241e-05,0.0006320116410844448,0.945205479452055,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640292,13.9,1.4,43.97,16.3,59.4
1397,Новгородская,2020-08-03,0.0008365353021250343,596508.0,0.00020620008449174194,1.6764234511523734e-06,0.00039395951102080774,0.9452054794520551,0.0241304391558872,0.013448268925144299,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640292,13.9,1.4,43.96999999999999,16.3,59.4
1398,Новгородская,2020-08-10,0.0007443320123116539,596508.0,0.00012405533538527563,1.6764234511523734e-06,0.0002849919866959035,1.04977375565611,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640294,13.9,1.4,43.97,16.3,59.4
1399,Новгородская,2020-08-17,0.0006672165335586446,596508.0,0.00035875461854660795,5.029270353457121e-06,0.0006169238300240735,1.2089552238806,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640292,13.9,1.4,43.97,16.3,59.4
1400,Новгородская,2020-08-24,0.0006269823707309877,596508.0,0.0007141563901909111,0.0,0.000251463517672856,0.976190476190476,0.0241304391558872,0.0134482689251443,0.009334325776016401,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640294,13.9,1.4,43.97,16.3,59.4
1401,Новгородская,2020-08-31,0.0007678019406277871,596508.0,0.00024308140041709415,6.7056938046094936e-06,0.0002279935893567228,1.08860759493671,0.0241304391558872,0.0134482689251443,0.009334325776016401,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640294,13.9,1.4,43.97,16.3,59.4
1402,Новгородская,2020-09-07,0.0007845661751393108,596508.0,0.00024308140041709415,8.382117255761868e-06,0.00018440657962676108,0.867816091954023,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640294,13.9,1.4,43.97,16.3,59.4
1403,Новгородская,2020-09-14,0.0006571579928517304,596508.0,0.00017267161546869446,0.0,0.0005632782795871975,1.05825242718447,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640292,13.9,1.4,43.97,16.3,59.4
1404,Новгородская,2020-09-21,0.0005515433154291309,596508.0,0.0008147417972600536,0.0,0.00019781796723598006,1.01754385964912,0.0241304391558872,0.013448268925144299,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640292,13.9,1.4,43.96999999999999,16.3,59.4
1405,Новгородская,2020-09-28,0.0007208620839955206,596508.0,0.0003386375371327794,0.0,0.0002581692114774655,1.25954198473282,0.0241304391558872,0.013448268925144299,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640292,13.9,1.4,43.96999999999999,16.3,59.4
