,region,sum_infections,population,sum_healed,sum_deathed,sum_unemployed,procent_healed,procent_infected,procent_death,procent_unemployed,depo_mean_19,depo_salary_19,growth_depo_19,curr_depo_perc_19,fin_wealth_19,soceco_wealth_19,depo_mean_20,depo_salary_20,depo_mean_21,depo_salary_21
0,Адыгея,5828.0,463088.0,4557.0,49.0,598.5975279116714,0.7819148936170213,0.0125850810213177,0.000105811422451,0.0012926215490612,53.15518181658252,1.8963886944715456,25.0232750594807,3.822604666556346,34.959291448989205,26.842,54.13225995923021,1.8362523413268503,64.28134992346172,1.9481853562898488
1,Алтай,7296.0,220181.0,6207.0,24.0,526.7335981608924,0.8507401315789473,0.0331363741648916,0.0001090012308055,0.0023922754377575,43.87159266400446,2.1783801497348776,36.25656307648646,4.301187252655696,9.430103499283916,26.5495,46.45723291292164,2.267008230370333,53.26900621848892,2.381802200692552
2,Амурская,7313.0,790044.0,6864.0,65.0,835.6814118126549,0.93860248871872,0.0092564464763987,8.22738986689349e-05,0.0010577656583844,128.24605329843644,4.061075305858642,38.05626806726111,5.81082143840195,44.579305086409015,35.899,136.03672706836582,4.147556028517903,161.8119169248164,4.304166645825263
3,Архангельская,21299.0,1092424.0,13985.0,262.0,717.8246767826579,0.6566035964129772,0.0194970084875469,0.0002398336177161,0.0006570934699188,160.99199471383656,4.798037957658491,30.93770659614852,7.32922896511287,49.56642086752238,33.944,165.96944043704642,4.990173874547574,191.1455283366369,5.261513620981501
4,Астраханская,9527.0,1005782.0,7323.0,173.0,1556.432574493545,0.7686574997375879,0.0094722315571366,0.0001720054644048,0.0015474850161302,88.43417335180683,3.688483379059005,24.910159623366845,8.758000847476527,34.508840659457434,32.912,92.23469897055227,3.712292805431604,103.54908606924586,3.98583816196564
5,Башкортостан,10413.0,4038151.0,9899.0,59.0,3411.4313905180843,0.9506386247959282,0.0025786554291803,1.4610647298726573e-05,0.0008448003530621,98.83078396595413,3.4387052745525617,24.85039370078741,9.73589033979079,41.20144473793386,53.187,103.2623594313338,3.387817110327383,117.080482118379,3.724496611872945
6,Белгородская,11598.0,1549151.0,9505.0,93.0,783.4410047022046,0.8195378513536816,0.0074866814145296,6.003288252726816e-05,0.0005057228150788,148.3522874879315,4.800276795681938,21.38162590879049,15.81178151531388,58.15527072223347,53.995,163.1642105901878,5.002581879758027,193.33220438615444,5.610418154243516
7,Брянская,12590.0,1192491.0,9848.0,73.0,1163.6172785277693,0.7822081016679905,0.010557731672608,6.121639492457386e-05,0.0009757870529234,100.08523671727822,3.757470955071125,32.8639847802763,7.9827840261070095,38.02771886324425,35.002,104.00665497685098,3.697455672541962,118.05117521024248,3.8999075068835736
8,Бурятия,12034.0,985937.0,10222.0,208.0,1325.1808037971484,0.8494266245637361,0.0122056480282208,0.0002109668264807,0.0013440826379344,62.46383252667368,2.5602160913586856,39.80788053993762,9.68918412868982,23.92079907436136,24.367,67.23147625051092,2.6868140492356325,78.84468826330813,2.9264329543118386
9,Владимирская,9552.0,1358416.0,7271.0,239.0,1264.940814121918,0.7612018425460636,0.0070317192965925,0.0001759402127183,0.0009311881000532,152.29406833332723,6.335753521353138,29.44346603107828,12.130055191246322,43.37526994203146,36.23,157.68439123214094,6.114049407035185,168.06807843534642,6.075609924369284
10,Волгоградская,19640.0,2491036.0,17922.0,215.0,1989.787726050831,0.9125254582484724,0.0078842698379308,8.630947124007843e-05,0.000798779193095,108.77568136345673,4.79015267540659,29.01144640998961,10.185293815718078,42.71367481219082,43.633,112.43554890415072,4.640105190782594,123.184926912141,4.661019795190503
11,Вологодская,8994.0,1160445.0,5753.0,132.0,1036.139636723584,0.6396486546586613,0.0077504750332846,0.0001137494667993,0.0008928812970227,144.00627551461704,5.299090141762351,31.935192813149737,9.509508914235422,47.77773898482811,44.407,149.01869541425918,5.3414111891844325,168.59593307629086,5.53199786971243
12,Воронежская,24730.0,2324205.0,23260.0,402.0,1815.710984848485,0.940558026688233,0.0106401974008316,0.0001729623677773,0.0007812180874098,155.01965142508809,5.059472591668623,25.313145694789306,11.343243048512155,54.27269230140324,53.969,160.9913927558025,5.012575473053709,192.2187119406248,5.668329212958178
13,Дагестан,14567.0,3110858.0,13197.0,719.0,7026.398859633599,0.905951808883092,0.0046826309654764,0.0002311259466037,0.0022586691066045,22.09695910017932,0.8231162368346415,30.905670518677788,2.721647065724257,22.32051079373712,34.038,23.47969595526379,0.8328126752064338,28.584532041746364,0.968023774854891
14,Еврейская АО,2036.0,158305.0,1243.0,42.0,259.70072319437344,0.6105108055009824,0.0128612488550582,0.0002653106345346,0.0016405086585665,88.14167703688881,3.5700806444800475,27.32610659439927,3.1500532103582826,25.17515988699021,10.682,94.85486876598968,3.634320971120018,113.27156549520768,3.8898870342968688
15,Забайкальский край,12489.0,1059700.0,8957.0,149.0,1325.3415343279985,0.7171911281928097,0.0117854109653675,0.0001406058318391,0.0012506761671491,76.00031901368475,3.058946189074276,38.77229351196696,4.245679012345679,25.9358200451686,26.885,80.47938095687458,3.140658769048764,92.85846499950163,3.336541954474876
16,Ивановская,11268.0,997135.0,8648.0,208.0,1082.012225073314,0.7674831380901669,0.0113003755760253,0.0002085976322162,0.0010851210970162,133.0966559780119,5.185230491397608,24.99462249946225,12.355876785406988,37.99880878794481,27.019,139.1105517307085,5.345060775021459,151.3415978407995,5.441691309019632
17,Ингушетия,7032.0,507061.0,5826.0,84.0,1937.8804891483037,0.8284982935153583,0.0138681539301977,0.0001656605418283,0.0038217896646523,9.14367512208656,0.551179769045373,17.640972581479563,5.123131046613897,1.8545548561752427,18.931,10.024434929919677,0.5964440370036102,12.73168801545492,0.7207397792470837
18,Иркутская,22971.0,2391193.0,19990.0,491.0,1968.0774376832844,0.8702276783770841,0.0096065018591138,0.0002053368339569,0.0008230525255315,127.062599598042,5.114974455227636,35.29346460084639,8.946190254245632,39.93752137315768,47.139,133.867069701191,5.184275647513859,144.95324462394225,5.065815496747825
19,Кабардино-Балкария,9417.0,868350.0,7177.0,138.0,2329.7371517007928,0.7621323139003929,0.0108447054759025,0.0001589220936258,0.0026829471430883,43.70603738777376,2.107323093427492,22.18887167570358,5.94046329802689,10.135415741479758,20.332,45.002591121091726,2.115454437901671,47.17029973849246,2.053695266930468
20,Калининградская,7624.0,1012512.0,5356.0,85.0,1397.1573277327611,0.7025183630640084,0.0075297873012863,8.394962232546379e-05,0.0013798921175578,183.82996386901848,6.546506036483418,26.34293199102997,18.64008424160841,43.934832664089626,41.812,192.10537751651336,6.644083784238067,237.4732973108821,7.762975345642671
21,Калмыкия,8310.0,271135.0,5643.0,106.0,345.9958643882468,0.6790613718411552,0.0306489387205635,0.0003909491581684,0.0012761018104938,40.79634105638426,2.335154516553187,33.85078219013238,5.26836285174863,13.704211431548169,14.392,43.4691205488041,2.362163352242476,54.46619058907194,2.6311533822406195
22,Калужская,11655.0,1002575.0,9869.0,82.0,644.8818438536806,0.8467610467610468,0.0116250654564496,8.178939231478942e-05,0.000643225538093,156.93197804592918,5.23265692677522,27.646338318720986,8.555970808817959,55.70328052129405,45.083,163.30050120938583,5.210651048887941,183.66800535475232,5.394344947383561
